sex,sat_v,sat_m,sat_sum,hs_gpa,fy_gpa,sex_dummy,sex_factor,leverage,cooks_dist
2,52,51,103,2.8,1.83,0,Male,0.0032970437351999933,5.572750214504784e-4
1,48,54,102,2.8,2.33,1,Female,0.0023043479739195847,4.751357984216914e-5
1,50,58,108,3.2,3.24,1,Female,0.001973806985003691,8.329842620132546e-4
1,53,59,112,3.2,2.7,1,Female,0.002144614674370883,4.063985801390286e-5
1,54,44,98,2.7,1.5,1,Female,0.002605417845030056,5.594931808133862e-4
1,51,42,93,3,3,1,Female,0.0028202540529020602,0.0015329483109198826
1,53,59,112,2.4,2.34,1,Female,0.005282767996500323,2.3718384198295148e-4
2,58,66,124,4,3.44,0,Male,0.005216548098735183,6.951907145187454e-5
2,48,60,108,3,1.88,0,Male,0.003077133091939046,8.612111632113994e-4
1,57,60,117,2.1,2.86,1,Female,0.009354670362928105,0.005071837536420605
2,40,34,74,2.75,2.56,0,Male,0.005715977817957282,0.0021715308753874527
1,41,40,81,2,1.49,1,Female,0.007110331620435723,4.989145539237195e-5
1,49,57,106,2.8,2.5,1,Female,0.002421920831764148,1.3490414646519575e-4
2,49,50,99,2.9,1.83,0,Male,0.0026189503887279826,4.316845263964446e-4
1,55,57,112,2.5,2.38,1,Female,0.004574172097833798,1.7978702999049573e-4
1,37,40,77,3.1,1.82,1,Female,0.007251292847391995,8.219598439895698e-5
1,43,46,89,2.8,2.12,1,Female,0.003367497669848125,6.146748396476936e-5
1,47,59,106,3.1,2.59,1,Female,0.0019450707656651052,5.622151386772113e-5
1,53,57,110,3,2.59,1,Female,0.002210149152407266,6.032500393324988e-5
2,40,50,90,3.1,2.02,0,Male,0.00265854257292311,1.3028614114978939e-4
2,45,48,93,3.7,2.93,0,Male,0.0038097127899933314,2.0073907103085502e-4
2,46,47,93,2.9,2.24,0,Male,0.002626834415328839,1.2477376310798966e-6
1,54,54,108,2.5,2.19,1,Female,0.003947195206845854,3.093607245108618e-5
1,41,60,101,3.4,1.95,1,Female,0.0026561171670730827,5.429547039321054e-4
1,64,64,128,4,3.54,1,Female,0.005481293767470602,3.8261980558082205e-4
2,62,61,123,3.75,2.86,0,Male,0.004590424186941254,2.810757704492421e-4
1,48,56,104,3.8,2.17,1,Female,0.004236578081635448,0.0010377546012503285
2,46,49,95,3.4,2.3,0,Male,0.002470427660687106,9.00361511770047e-5
1,36,64,100,3.5,2.48,1,Female,0.0031609478634823307,3.90126007979422e-6
2,40,48,88,3.5,3.02,0,Male,0.0038267219942018788,8.346651030966005e-4
2,46,60,106,3.5,3.14,0,Male,0.0022789873467701336,2.524911378568342e-4
1,55,60,115,2.7,2.22,1,Female,0.003937932164791037,2.0901349426928583e-5
1,51,36,87,2.9,3.27,1,Female,0.0037874628013337486,0.004536812865538572
2,42,35,77,2.5,2.47,0,Male,0.005484799381263853,0.002102309138025198
2,50,53,103,2.8,2.85,0,Male,0.0032970437351999933,6.923778424716532e-4
2,50,52,102,4,3.77,0,Male,0.004296407185571914,0.002018678871678762
1,41,50,91,2.7,2.91,1,Female,0.0031553957916403592,0.0021720487705713253
1,50,53,103,3.5,2.61,1,Female,0.0028089059347956614,3.709105517185687e-6
2,50,53,103,4,3.78,0,Male,0.004200899233337543,0.0019471137151710121
1,46,54,100,2.9,1.19,1,Female,0.0021724587361665456,0.001563407265449242
2,60,62,122,3.2,2.37,0,Male,0.005299024831313795,8.095599006762967e-4
1,49,65,114,3.7,3.69,1,Female,0.0031215505246887003,0.0016069349535081663
1,43,59,102,2.7,1.73,1,Female,0.002578889100521259,2.638669862333109e-4
2,50,47,97,2.7,2.48,0,Male,0.0033076663706037845,2.3948868742827708e-4
2,49,60,109,3,2.35,0,Male,0.0032230184483957075,6.466403687298625e-5
1,52,50,102,3.5,1.95,1,Female,0.002913173954910615,7.663074824560126e-4
2,62,52,114,3.2,3.46,0,Male,0.0033985840968798154,0.0014089015592555153
2,47,56,103,2.8,2.27,0,Male,0.0032970437351999933,4.2959393628802655e-6
2,41,57,98,2.5,2.14,0,Male,0.004491059726685363,1.6918103203934354e-5
1,43,64,107,2.5,3.34,1,Female,0.0038231492077170437,0.004478591493704258
2,46,48,94,3.3,2.42,0,Male,0.002396061812319967,1.8912693712480455e-6
1,52,67,119,3.3,3.22,1,Female,0.0028474751088981656,5.551475068857111e-4
1,47,71,118,2.4,1.3,1,Female,0.006713362559604795,0.0038386858452412816
1,47,61,108,3.2,1.79,1,Female,0.001973806985003691,6.745991828723409e-4
2,32,54,86,3,2.8,0,Male,0.003176715480051875,9.373937751692545e-4
2,45,45,90,2.6,2.8,0,Male,0.0037083962311774683,0.0017217944630928338
1,59,59,118,2.4,0.8,1,Female,0.006713362559604795,0.009408082440394419
2,52,40,92,3.5,2.45,0,Male,0.0031165608569157,1.5911614718499808e-5
2,46,56,102,3.7,2.33,0,Male,0.0028014506391768335,4.475760634435203e-4
1,31,51,82,2.7,1.76,1,Female,0.004804219134628497,5.076714005015818e-6
2,35,48,83,3,2.88,0,Male,0.0036807682508853525,0.0015600534513746686
1,45,57,102,3.1,2.52,1,Female,0.0020229989942294364,5.360905962268668e-5
1,54,53,107,3.2,1.54,1,Female,0.0019638032862800683,0.0012080570885592411
2,43,47,90,3.7,2.66,0,Male,0.004381227383649696,6.545109691174594e-6
2,52,50,102,3.9,3.16,0,Male,0.0037077092700877404,1.6741996733837854e-4
1,49,58,107,3.8,1.94,1,Female,0.0038948618115093514,0.002076964326105878
2,45,49,94,3.1,2.91,0,Male,0.002313683866426952,5.423719902908637e-4
2,62,51,113,2.9,2.37,0,Male,0.004431654849277164,7.444558226099252e-5
1,61,64,125,4,3.67,1,Female,0.005096765345623115,8.756330818774666e-4
1,50,59,109,4,4,1,Female,0.005033999091754938,0.004134371480776601
1,46,53,99,2.6,2.94,1,Female,0.0028952116464172153,0.0018426324012865284
2,39,64,103,2.9,1.37,0,Male,0.0028752801599394857,0.0020793401537272838
1,42,46,88,2.75,2.13,1,Female,0.003552764321379597,1.1581257650537417e-4
2,46,57,103,3.3,2.68,0,Male,0.002092016525755584,1.1912969558002063e-5
1,40,62,102,2.7,2.71,1,Female,0.002578889100521259,6.834918722238605e-4
1,45,35,80,2.4,1.57,1,Female,0.005605138310550152,3.6644843844664178e-6
1,53,56,109,2.5,2.38,1,Female,0.004084320495421935,2.3037957171161925e-4
2,67,59,126,3.4,1.16,0,Male,0.005783611763682482,0.014308113665206665
2,59,58,117,3.9,2.81,0,Male,0.003892791736546668,3.1096207329368186e-4
2,47,58,105,3.4,2.52,0,Male,0.002165871334206102,3.9144268742266596e-5
2,39,45,84,2.5,1.72,0,Male,0.004512667646821443,5.799371908995358e-5
2,39,53,92,2.9,2.23,0,Male,0.002673925932827761,1.8598042329692434e-6
1,54,58,112,3,1.43,1,Female,0.0023868786047883672,0.0017194479474766037
1,46,52,98,2.5,1.54,1,Female,0.003295303240684915,3.6872899879435297e-4
2,59,56,115,3.8,3.24,0,Male,0.0034115573063489045,8.497910764388353e-5
1,48,60,108,3.6,2.18,1,Female,0.002834496039610332,5.563219623493217e-4
1,43,51,94,2.3,1.77,1,Female,0.004321834163536289,3.559886390306096e-7
1,48,62,110,3.4,2.16,1,Female,0.002217471615921477,0.00033889701718205803
2,34,53,87,3.5,2.49,0,Male,0.004036960502141599,3.202868988877432e-6
2,54,61,115,4,3.74,0,Male,0.004074988383412168,9.753492637934808e-4
1,46,57,103,2.8,3.29,1,Female,0.0023141222542098203,0.0020794419539099363
2,36,43,79,2.9,1.37,0,Male,0.004476331000015347,0.001290377328185238
1,53,59,112,4,3.83,1,Female,0.004790721620133449,0.002494175696334017
2,64,66,130,3.7,2.9,0,Male,0.006439706992544866,5.116332174444807e-4
1,54,58,112,2.8,2.2,1,Female,0.002990658801949103,2.87656353950537e-5
1,57,55,112,2.7,2.11,1,Female,0.003428117500558187,5.552695599368469e-5
2,51,33,84,2.5,3.15,0,Male,0.004512667646821443,0.005529668779535303
2,46,53,99,3.4,2.65,0,Male,0.0021916536567274606,6.575797098048016e-6
2,45,43,88,3,1.98,0,Male,0.0029060767467325747,9.601704880999354e-5
2,55,58,113,3.8,2.93,0,Male,0.003236582524727466,2.0819363939894787e-5
2,49,55,104,3.7,3.1,0,Male,0.0027212645673598077,1.4401872280616525e-4
2,46,50,96,3.7,3.34,0,Male,0.0033559118013623997,9.77155205304823e-4
2,49,62,111,3.6,2.75,0,Male,0.0026816760329691665,3.3776241215575946e-5
2,50,52,102,3.4,2.9,0,Male,0.002119905692954065,1.1052929372164884e-4
1,57,58,115,4,2.06,1,Female,0.004665157753537395,0.003203124227252427
2,42,40,82,3.2,1.87,0,Male,0.004167566405396898,3.562038432382339e-4
1,55,48,103,3.2,2.8,1,Female,0.0020545813858582826,2.3829194095156622e-4
2,54,40,94,2.6,1.38,0,Male,0.0036893726686961334,0.0012490205020181872
2,50,62,112,3.9,2.37,0,Male,0.003504115344878601,0.0012284631326632313
1,29,58,87,2.7,0.9,1,Female,0.0037574132718290504,0.002597021449876088
1,39,58,97,2.5,2.38,1,Female,0.003302050136028808,5.140504276192608e-4
2,39,38,77,2.6,1.62,0,Male,0.005215484293165177,1.2464285154050603e-4
1,43,43,86,2.9,1.42,1,Female,0.00400324890940058,8.84778824183658e-4
2,34,40,74,2.8,1.52,0,Male,0.005707434359730597,5.002495496725049e-4
2,49,57,106,3.7,2.65,0,Male,0.002693395653331863,8.674823060117053e-5
1,38,60,98,2.9,1.92,1,Female,0.0022770487161184495,9.168559596556763e-5
2,54,53,107,3.3,0.66,0,Male,0.0022969468129115534,0.006613785506027726
1,43,68,111,3.8,1.85,1,Female,0.003622350170269675,0.0026741841160256036
1,49,55,104,2.2,2.36,1,Female,0.005535409670253455,0.0010207961721648386
1,44,57,101,3.3,1.86,1,Female,0.0023720921363591402,5.490778204454832e-4
1,46,44,90,2.7,1.35,1,Female,0.0032862812275166265,7.785705305609193e-4
2,47,57,104,2.9,2.8,0,Male,0.0029720608263605367,3.742576513057932e-4
1,56,53,109,2.8,2.24,1,Female,0.002647433014343909,1.6130109148541021e-6
2,43,51,94,3.8,2.17,0,Male,0.004183640344054225,9.616530841447924e-4
1,57,57,114,3.3,3.22,1,Female,0.0022903473761565953,5.881514261434382e-4
2,39,49,88,3.1,2.02,0,Male,0.002909447662854811,1.1089606929840732e-4
2,41,52,93,2.9,1.52,0,Male,0.002626834415328839,9.189748458156838e-4
1,33,57,90,2.8,2.27,1,Female,0.003207241187323846,2.0016178456133736e-4
2,39,49,88,2.6,2.85,0,Male,0.0037963837491017576,0.0021372411955189025
1,36,59,95,2.9,2.62,1,Female,0.002532028356900832,4.7855997684657773e-4
2,42,59,101,3.5,2.54,0,Male,0.002283836730687111,2.8943210633378304e-5
2,58,51,109,3.8,3.76,0,Male,0.003043584434851832,0.0014051668453548124
1,41,57,98,2.9,1.71,1,Female,0.0022770487161184495,3.2788725064551884e-4
1,41,59,100,3.3,1.88,1,Female,0.002469935220967151,5.024748807514753e-4
2,46,55,101,3.3,2.54,0,Male,0.0020680271188612217,6.36566566435239e-7
2,50,57,107,3.2,2.25,0,Male,0.0024223611502317737,2.1158506924348803e-4
1,39,49,88,2.9,1.32,1,Female,0.003584755982714188,0.0012117326567697324
2,44,33,77,3.5,2.71,0,Male,0.006858706501138671,8.303314633968996e-4
2,57,59,116,3.3,2.67,0,Male,0.003523178391677798,3.7626051997061633e-05
1,55,57,112,3.4,2,1,Female,0.002263867010696649,6.932275289432436e-4
2,44,58,102,3.7,3.26,0,Male,0.0028014506391768335,4.3173398542248234e-4
2,37,38,75,2.9,1.51,0,Male,0.005475613015741793,7.307937901384065e-4
2,47,48,95,2.7,2.33,0,Male,0.003245127350667772,9.096554693339577e-5
1,53,60,113,3.8,2.82,1,Female,0.003564570086333459,1.2153364000823041e-5
2,43,58,101,3.8,3.51,0,Male,0.0032853941485695396,0.0010726139457817075
1,45,47,92,3.7,1,1,Female,0.0059884121001303,0.009971002763367879
2,48,49,97,3.75,3.27,0,Male,0.003464205284769028,6.801546695425119e-4
1,49,54,103,2.8,0.73,1,Female,0.0023141222542098203,0.003511785078632996
1,49,55,104,4,3.17,1,Female,0.005701047333402824,3.9549893452086904e-4
2,47,54,101,4,2.69,0,Male,0.004404994427253555,2.1884787499624073e-4
2,32,57,89,2.7,0.52,0,Male,0.0033714132375942223,0.005669362446249496
1,37,50,87,2.2,1.77,1,Female,0.005263923115069027,1.1631169243651628e-4
1,40,57,97,3.7,2.35,1,Female,0.004780982849657311,1.9518379275226108e-4
1,55,55,110,2.9,2.06,1,Female,0.0024342662032432448,1.385575106508684e-4
1,53,57,110,3.4,2.23,1,Female,0.002217471615921477,2.434425194652332e-4
2,47,47,94,2.6,1.67,0,Male,0.0036893726686961334,4.129835771156118e-4
2,58,71,129,4,3.16,0,Male,0.006308523071235763,2.266028473477196e-4
1,35,53,88,3.9,2.24,1,Female,0.008994830059379021,6.766041746740745e-4
2,47,46,93,3.7,2.71,0,Male,0.0038097127899933314,6.6998876474966245e-6
1,52,64,116,3.9,3.98,1,Female,0.00406753863741555,0.0028982252536767874
1,36,48,84,2.8,2.2,1,Female,0.004364969424178574,3.1606106299379537e-4
2,38,47,85,2.5,2.88,0,Male,0.004426108842547324,0.003299152154331448
1,54,57,111,3.4,3,1,Female,0.002234129668585428,2.1631850777408516e-4
2,41,44,85,3.7,1.55,0,Male,0.00559533749535571,0.003984903274116321
1,45,58,103,3.9,2,1,Female,0.0050799789336468774,0.0023147085059841916
1,24,29,53,2.47,2.19,1,Female,0.01646213494910254,0.011463161055431418
2,59,62,121,3.5,3.86,0,Male,0.004226332612109749,0.002383768094563292
1,45,55,100,2.8,1.47,1,Female,0.0023240372816809253,7.353770110091543e-4
2,59,62,121,4,3.94,0,Male,0.004718314588602078,0.0015956051984958603
1,37,58,95,2.4,1.37,1,Female,0.003786417821312329,5.839908062209926e-4
1,44,59,103,3.5,3.08,1,Female,0.0028089059347956614,5.357742117945288e-4
1,54,64,118,3.8,1.95,1,Female,0.0036490074418201474,0.002734889531042764
2,59,62,121,3.8,3.52,0,Male,0.004250384597947708,4.3020480528377716e-4
1,48,55,103,3.2,1.74,1,Female,0.0020545813858582826,6.48441793883307e-4
2,44,59,103,3.2,3.17,0,Male,0.0021522638342728402,6.279205896621146e-4
2,61,56,117,3.5,2.67,0,Male,0.0034192961735125716,1.530557456694244e-4
1,49,55,104,2.3,2.14,1,Female,0.004776389695821238,1.7917229035405003e-4
1,53,52,105,3,2.54,1,Female,0.001997213086781743,7.062509966407194e-5
2,55,49,104,2.3,1.98,0,Male,0.006956078821415215,2.4038607971228218e-5
2,46,45,91,2.3,2.04,0,Male,0.005447357673170821,1.4521185222705264e-4
1,49,57,106,2.1,1.7,1,Female,0.006697838319998687,8.568306008131944e-5
1,53,62,115,3.7,1.8,1,Female,0.003141650463539508,0.0025802635548645265
1,70,74,144,4,4,1,Female,0.009520164013308954,0.001917935430129679
2,48,52,100,3.9,4,0,Male,0.0039053795284968123,0.003562993587257625
2,36,41,77,3,0.61,0,Male,0.005042014607628606,0.007351680493584685
2,49,57,106,3.8,3.34,0,Male,0.003036168406641445,3.9541506010672074e-4
2,48,56,104,3.7,2.92,0,Male,0.0027212645673598077,1.6017011225622414e-5
1,53,62,115,3.8,3.62,1,Female,0.003559107160186324,0.0012703757445912765
1,66,67,133,3.2,3.07,1,Female,0.006474668523457102,2.0646397659133714e-4
2,41,57,98,3.4,3,0,Male,0.0022417282235464666,3.000792414487241e-4
1,42,62,104,3.2,2.43,1,Female,0.0020122679267928234,3.1444690949968096e-7
2,38,45,83,3.4,3.11,0,Male,0.004562361459503993,0.001971762808553223
1,43,57,100,3.1,1.5,1,Female,0.0021404388451952234,9.879618818115915e-4
2,49,54,103,3.7,2.58,0,Male,0.002754817958544685,1.0999161310127268e-4
2,53,40,93,3.33,2.24,0,Male,0.0025436660662253637,8.478234487126146e-5
1,40,55,95,2.1,1.96,1,Female,0.005623600300188977,3.617306226367279e-4
1,45,56,101,2.5,2.23,1,Female,0.0033535382913368584,1.5401434192010966e-4
2,53,51,104,2.8,2.24,0,Male,0.003410116158821786,1.906895240050591e-5
1,43,57,100,2.9,2.76,1,Female,0.0021724587361665456,5.180689524852648e-4
2,49,52,101,3.1,2.59,0,Male,0.0022137337737785827,3.1900553090445205e-5
1,41,52,93,2.1,1.68,1,Female,0.005598315059401725,9.263037616078266e-6
2,38,47,85,3.1,2.92,0,Male,0.00338389996860689,0.0012639275079271276
1,55,56,111,2.8,2.31,1,Female,0.0028631709166334345,2.1934101058939804e-7
1,41,57,98,3.5,2.56,1,Female,0.003461038929843129,1.215751609785885e-5
2,39,55,94,3.8,2.73,0,Male,0.004183640344054225,1.2169251428907878e-8
2,63,49,112,3.4,3.11,0,Male,0.002730899627781983,2.0863970966967027e-4
2,43,44,87,2.8,1.83,0,Male,0.003266668322080074,1.3257879495376043e-4
1,47,47,94,2.6,2.88,1,Female,0.003075801356376737,0.002029473053004087
1,39,57,96,3,3.14,1,Female,0.0024379234038338317,0.0016269778926584105
1,46,51,97,2.6,1.87,1,Female,0.002928209662059213,2.250281568452541e-5
2,45,52,97,3.1,2.27,0,Male,0.0021923723757511712,2.1944683253842422e-5
2,51,55,106,3.4,2.56,0,Male,0.002207351793517988,2.8423404228323898e-5
1,40,44,84,3.1,2.35,1,Female,0.004963375333328448,3.2120399250888725e-4
2,42,55,97,3.4,3.02,0,Male,0.0023048820798127426,3.61466703786532e-4
1,50,60,110,3.8,2.44,1,Female,0.0036708591464086893,4.3207344514130803e-4
1,50,58,108,3.7,1.33,1,Female,0.0032756159699765244,0.004837510520942993
1,56,52,108,3.25,1.13,1,Female,0.0020023114334794347,0.0027418688442538888
1,54,52,106,3.4,3.4,1,Female,0.002281632299738376,0.0011736811403229633
2,48,36,84,2.7,1.96,0,Male,0.0038363319364995304,5.5109978521597325e-8
1,53,49,102,3.5,1.96,1,Female,0.002913173954910615,7.410590151040748e-4
1,48,58,106,3.8,3.17,1,Female,0.003995687945437447,4.401565940601546e-4
2,45,58,103,3.2,1.6,0,Male,0.0021522638342728402,0.0013653931782396122
2,50,52,102,3,2.37,0,Male,0.0024764860315917513,2.6733039478998547e-6
1,52,53,105,3.5,1.43,1,Female,0.002639607762907567,0.002613010554548444
2,62,48,110,3.2,2.74,0,Male,0.0027622666763973125,1.8793521410829316e-5
1,46,48,94,3.2,1.95,1,Female,0.003023970542574579,2.131503610694064e-4
1,42,50,92,3.1,2.42,1,Female,0.0031333698269491858,1.365613100970678e-4
2,48,52,100,3.6,3.04,0,Male,0.0025838096389547227,2.0086780725169594e-4
1,51,59,110,2.5,3,1,Female,0.004234525073445287,0.00240333293610565
2,50,42,92,3.5,3.73,0,Male,0.0031165608569157,0.003238257837734735
2,55,48,103,3.1,3.17,0,Male,0.0023028902094759094,7.954887640575925e-4
1,56,63,119,3,1.57,1,Female,0.0034174293057112367,0.002309230105883362
1,52,60,112,3.2,1.71,1,Female,0.002144614674370883,0.0010664660588061464
1,51,57,108,2.5,2.09,1,Female,0.003947195206845854,4.1449243171145744e-8
2,41,49,90,2.6,3.4,0,Male,0.0037083962311774683,0.005278010738911089
1,33,38,71,3.5,2.1,1,Female,0.01263281014432023,5.6687112571557474e-6
2,47,43,90,2.6,1.66,0,Male,0.0037083962311774683,3.133170323652825e-4
2,54,49,103,3.5,3.16,0,Male,0.0022426591087785093,3.396037817370841e-4
1,55,56,111,3.7,2.09,1,Female,0.003139726444819896,0.001155740661425562
2,49,57,106,3.7,3.6,0,Male,0.002693395653331863,0.0010682014182083117
1,45,57,102,2.7,0.85,1,Female,0.002578889100521259,0.0029491820562005744
1,57,59,116,3.3,1.88,1,Female,0.002473960600911412,0.0010793809549590218
1,45,54,99,3.5,2.53,1,Female,0.0033044537519390945,1.4001702915096551e-6
1,60,60,120,3.7,1.82,1,Female,0.003438339499502607,0.0031359119484419477
1,41,52,93,2.7,1.33,1,Female,0.0029328627882296357,8.644467183086785e-4
2,47,51,98,2.56,2.81,0,Male,0.0041133490450945215,0.0015022297702128758
1,44,43,87,1.8,1.49,1,Female,0.008095954190005633,8.165685336110039e-5
2,49,55,104,3.5,2.51,0,Male,0.002241689231995114,7.053374697638274e-5
2,68,51,119,3.1,1.61,0,Male,0.004899559375461454,0.004445271815727111
2,39,41,80,2.7,1.65,0,Male,0.004443694105674643,2.0702776381772823e-4
2,33,37,70,2.8,1.7,0,Male,0.006903135135599484,5.570357000733231e-5
2,50,54,104,3.6,3.13,0,Male,0.002436287366334554,2.237522976554779e-4
2,46,58,104,3.5,2.6,0,Male,0.002241689231995114,2.2756020767697163e-5
2,35,40,75,3.25,1.87,0,Male,0.0063077678581534265,3.188535661954884e-4
1,26,50,76,3.2,2.24,1,Female,0.008141016191693858,3.8881076602184476e-4
2,36,55,91,2.8,1.6,0,Male,0.0029603592286255665,5.988439044170888e-4
2,51,54,105,3.7,2.98,0,Male,0.0027007904656222,3.5551323185703235e-5
2,47,51,98,3.9,3.6,0,Male,0.004155366944694965,0.001704176169167637
1,47,50,97,3.1,1.43,1,Female,0.0024146932924984325,0.0011828964083804207
1,44,62,106,3.7,3.02,1,Female,0.003431605433983962,2.1690674334665192e-4
1,50,50,100,3.1,3.15,1,Female,0.0021404388451952234,0.0011260983917181174
1,34,52,86,3.3,2,1,Female,0.00521306379744269,1.4365218420760102e-4
2,33,46,79,2.6,1.57,0,Male,0.00483975240740094,2.4167915121501137e-4
2,38,34,72,2.8,1.78,0,Male,0.0062791261687705,1.4267484750026036e-5
2,46,59,105,3.6,2.77,0,Male,0.0024321050217976877,6.713390413093971e-7
1,42,56,98,3.8,3.25,1,Female,0.0052731514369639375,0.0013484460522012662
1,59,55,114,3.5,3.3,1,Female,0.0025251908170510224,5.816928050912147e-4
2,50,53,103,3.9,3.17,0,Male,0.0036284930750541105,1.5682802049465865e-4
2,41,55,96,3.4,2.04,0,Male,0.0023811152255262895,4.308689763163696e-4
2,42,53,95,3,1.69,0,Male,0.00237083879770404,6.417162643350086e-4
1,41,65,106,2.5,1.8,1,Female,0.0037121824980355035,1.7612940936374575e-4
2,52,62,114,3.5,2.29,0,Male,0.002951351383761026,7.259303100224041e-4
1,62,67,129,4,3.41,1,Female,0.005635628486980971,1.1053431291153893e-4
2,36,38,74,3.5,2,0,Male,0.007960276445059568,3.859056408367575e-4
2,47,56,103,4,3.11,0,Male,0.004200899233337543,5.011773920044951e-5
1,38,58,96,2.7,2.38,1,Female,0.0026971579539680768,2.6313985701358994e-4
1,45,63,108,3.3,2.62,1,Female,0.002053410648626632,1.1363630050571551e-5
2,63,63,126,3.8,3.71,0,Male,0.005309087800746645,9.148088613009817e-4
1,44,50,94,3.8,3.27,1,Female,0.00622578612946167,0.002064403787751348
1,42,61,103,2.5,2.4,1,Female,0.003457758105674505,3.8350622281447405e-4
1,51,63,114,2.5,3.25,1,Female,0.004966136280011392,0.004156461633962287
1,57,59,116,3.3,1.98,1,Female,0.002473960600911412,8.189907076744255e-4
1,49,61,110,3.5,3.04,1,Female,0.0024452498985145614,2.363065447689391e-4
1,37,64,101,4,2.8,1,Female,0.006258227751758799,1.113646059174658e-6
1,62,71,133,4,4,1,Female,0.006383760259495153,0.00223739312274796
1,47,59,106,2.5,1.78,1,Female,0.0037121824980355035,2.0478821021316208e-4
1,55,65,120,3,2.54,1,Female,0.003616967992203585,2.471227825336205e-7
2,43,42,85,2.8,1.92,0,Male,0.0034982986054909503,3.3987238511145796e-5
1,56,74,130,4,3.48,1,Female,0.005803042495938611,2.0238168468202173e-4
2,52,48,100,2.74,1.62,0,Male,0.0033034171352223952,9.010566038180503e-4
1,47,60,107,3.5,2.56,1,Female,0.0025226267488085543,8.671414462339918e-6
2,51,50,101,3.3,3.35,0,Male,0.0020680271188612217,9.338760716753038e-4
1,41,66,107,2.7,2,1,Female,0.0028400121824488445,6.860119203095889e-5
2,43,42,85,3,1.97,0,Male,0.0033316537808824303,7.602348255067685e-5
1,58,51,109,3,3.21,1,Female,0.002141403360387621,0.0010677240760580543
1,47,37,84,2.6,0.67,1,Female,0.004417927484841055,0.0039137093847917154
1,41,57,98,3.5,2.38,1,Female,0.003461038929843129,3.069736248284554e-5
1,42,50,92,2.3,1.86,1,Female,0.0043878745304465425,5.51463685720835e-5
2,50,43,93,2.3,2.53,0,Male,0.0055355964351346005,0.0017088062319256063
1,55,55,110,4,1.44,1,Female,0.004939827311767172,0.008252748544240105
1,45,59,104,3.5,2.19,1,Female,0.00271771720412798,3.041467302346159e-4
2,35,42,77,2.8,1.44,0,Male,0.004947991317025266,8.056160183985593e-4
1,43,50,93,3.4,2.36,1,Female,0.0039354160060666695,1.3798940435863564e-8
1,48,44,92,3,2.21,1,Female,0.0029738561814860107,1.7790647579783902e-5
2,40,57,97,3,2.6,0,Male,0.002335627274435606,1.2189782266992252e-4
1,44,58,102,3.25,0.36,1,Female,0.00218735385444898,0.006679206455085087
1,47,61,108,3.3,2.47,1,Female,0.002053410648626632,5.8334575794701495e-6
2,43,47,90,3.5,2.16,0,Male,0.0034454828466642484,2.947397679579871e-4
2,39,53,92,2.7,1.63,0,Male,0.0032494134916182804,4.939049904913767e-4
1,47,57,104,2.8,1.83,1,Female,0.002336975823947326,2.2218593520047922e-4
2,34,69,103,2.1,2.66,0,Male,0.008780002629226291,0.003514988560541876
2,49,48,97,3.3,3.04,0,Male,0.0021769997784397395,4.616514588151384e-4
2,47,45,92,2.4,2.54,0,Male,0.004790487829947658,0.0013416558158027714
2,43,53,96,2.6,2.02,0,Male,0.003758336624139087,1.4615346850233261e-5
1,61,49,110,2.2,1.49,1,Female,0.0065336994262978464,0.0010089241782989364
1,48,55,103,3.8,1.13,1,Female,0.004376642083905353,0.008205716222238372
2,37,46,83,3.1,2.02,0,Male,0.0037655979530112947,6.349298948064208e-5
2,51,50,101,3.7,2.9,0,Male,0.0028611626092562518,2.8033719152536323e-5
2,35,60,95,2.75,1.81,0,Male,0.003042925675161851,2.7292108742492903e-4
2,47,67,114,3.6,4,0,Male,0.0029830319460930543,0.0024894016982349504
1,41,37,78,2,2,1,Female,0.0075924775786088815,0.0023798099244213113
2,43,42,85,2.75,2.54,0,Male,0.003596446728321713,7.40689486066553e-4
2,49,48,97,4,2.65,0,Male,0.004970136288452828,2.0819467205282304e-4
1,58,77,135,4,3.43,1,Female,0.006836301882435866,4.204375647622539e-5
2,47,45,92,3.7,2.91,0,Male,0.003987138365098183,2.0300106154944164e-4
1,47,53,100,4,3.21,1,Female,0.0064701131367719995,7.942927394776081e-4
1,37,52,89,2.5,1.75,1,Female,0.0038268797188816817,5.411593355382392e-6
1,36,36,72,2.3,3.12,1,Female,0.00792572187794855,0.016773303671713858
2,56,58,114,3,2.09,0,Male,0.004148634572388071,7.640430190026784e-4
2,47,58,105,3.5,2.11,0,Male,0.0022537986446589885,6.356073540248988e-4
1,56,50,106,3.3,2.56,1,Female,0.0020790660550281397,5.092333303377721e-6
2,43,54,97,3.2,2.56,0,Male,0.0021394965437525493,2.111407173869577e-5
2,45,48,93,3,1.24,0,Male,0.002458367478761556,0.00189230344937396
1,55,60,115,3,2.8,1,Female,0.0027500674542145468,2.1362224341712655e-4
1,55,35,90,2.6,2.17,1,Female,0.0034557003343952198,2.3319572872487686e-4
2,46,47,93,3.4,2.42,0,Male,0.002688290399350551,1.0514527497114973e-5
2,39,51,90,3.6,3.56,0,Male,0.0038681655818140663,0.0028195314033261924
2,50,58,108,3.3,3.24,0,Male,0.0023808776083187218,5.644246326399665e-4
2,45,57,102,3.6,3.42,0,Male,0.0024838899237500977,8.247520512660852e-4
1,52,66,118,3.8,2.53,1,Female,0.0036490074418201474,5.027993313974507e-4
